"PopulationName","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015"
"Abel",-1.64486577865983,-0.482097099970231,-0.652371519582913,-1.18496521718065,-0.255789941034728,-2.4536691793453,-0.201752693429052,-1.77706392521138,0.946884503107929,-1.15897502663307,1.43552576778002,0.922625497158524,1.34229805417912,0.408417405661881,-1.45921542257702,-0.388082582574117,-0.372254544067889,0.456057618591989,0.275954041470556,0.202250597151617,0.949035466253437,0.0365650032465297,-0.193148869300794,0.804759830228481,0.26763902316182,0.913935856443892,1.34902464048048,-0.225652356649908,-0.354140813789998,0.426346385576602,0.661686110126925
"Abel&SHReconnect",-2.14003417560767,-1.22586523024168,-0.984948298932871,-1.51892253178999,0.46167076389045,-1.7812770594585,-0.259227920372929,-1.45820064715146,0.900422503297327,-0.498548882970916,1.63970798693115,0.869064193748055,1.18718770902149,0.667845260748339,-1.61549992307351,0.34038312964429,-0.609978398928718,0.295613082592563,-0.261654604936928,0.275334120873105,0.92051823404193,0.0426705587477437,-0.11024669670948,0.672405304332491,0.19301568706708,0.406615353127464,1.55600101808006,-0.191228497914643,-0.151237400490212,0.694037050552557,0.354516318668774
"Ackler",-0.962312699019899,-0.242180151190756,-0.406603039822086,-1.74191472408474,-2.16561735664354,-1.01813513545827,0.229393709473264,-1.89696380209149,-0.454240982321805,-1.09479429300784,1.05255681518774,0.607503646649449,0.628323894341833,1.38251852337768,0.0300381228876823,-0.830680986808668,-1.57653882870023,-0.207509836535877,0.273722694302237,0.306884786128689,0.877441325963977,0.351088055173202,-0.496227465324792,0.638637629213131,0.69152371884329,0.805556687570282,1.42009840121547,-0.0118814354193996,0.329202786062022,1.28291193924438,1.09333150525465
"Alles",-0.419478646165645,0.106362271761833,-0.182324060146795,-1.41499088097097,-1.55190857032598,-0.946536675676249,0.106230069111525,-1.68985632224602,-0.618516558136981,-1.38897547798642,0.983039716387414,0.545488594811742,0.973249652052877,0.590434343543292,-0.0319305172541149,-0.99811088009232,-1.60593618305446,-0.101913226516031,0.00139218527731022,-0.011958410682226,0.0288464495959923,0.221679579912846,-0.650887120827951,0.301216442706899,0.749209726563243,0.915046105347327,1.57088062344784,-0.646728795810456,-0.104379465972411,1.7091228513533,1.67623451136724
"Alles&DeeringReconnect",-0.0996475744014333,0.639977605158846,0.30649780165655,-0.651973010649328,-0.497277081946455,-0.274970403080607,-0.153802119341429,-1.01566977173866,-0.046664251887738,-0.917441100003067,0.929467968698879,0.463818978176773,1.10688415554155,0.488999644117893,-0.613127019347404,-0.594328963228504,-1.59861555044059,-0.3158728010925,-0.142858656974262,-1.27398772182305,-1.06254393398943,-1.45658224002638,-1.40643962377556,-0.522024674211286,0.530335621990371,0.678891579212372,1.36592905229743,-0.504850413294336,0.998908751151947,2.33046168563065,1.68746851848382
"Andorno",-1.09388378354107,-1.32316336135014,-1.18751475305214,-0.856766742447695,-1.89604265425874,-1.66715918209282,0.560552198795699,-2.14344821966805,0.423815735144401,-1.15296382649462,0.899493669232159,1.10890904756833,0.867075625025076,0.396545755024609,-0.819086601451958,-0.415836679892071,-0.0727531207602915,0.67825114340771,0.0583429667238455,0.4197379771075,0.190885524656327,-0.0155955951273902,0.0392022668476899,0.450906168522438,0.579871992203493,1.4495751335739,1.73766909767234,-0.130287264001268,0.134263265351151,0.481285723975339,0.956621711029048
"Bartlett",-0.175220290440503,0.542311225939606,-0.433527966754933,-0.778712125956687,-0.356686838614606,-1.71365580669457,-0.267713114787807,-2.30684504613624,0.292054252892929,-0.825584073982411,1.75565199264471,-0.000344874829567846,-0.254991205094248,0.605448116238577,-0.631308719947481,-0.339281316157203,-1.48070956028646,-0.697887786291018,-0.369430012616161,-0.460785235336458,0.903222399993465,0.574094321457558,-0.39730684698521,0.724382861523441,0.508231429755169,1.54799144308984,2.6884518633496,-0.369921526346768,-0.335277125229332,0.412455251210591,0.57040238692091
"Battle_NF",0.105864962663281,0.61088994335417,-1.26301658998374,-0.770080520534076,-0.0258445669417619,-1.74993274467184,0.134544076628598,-2.58234953385024,0.180442273039741,-0.772870095180488,1.35365415673188,0.207102699264853,-0.244537732674949,0.505696698802027,-0.715876035491804,-0.342566824703454,-0.653401927607834,0.0553303545452638,0.219885770852922,-0.651245791656978,0.716548882231877,0.52679478897109,-0.675297159198992,0.610252301349419,0.650311842624722,1.41890102602548,2.44341059736714,-1.01015659913395,-0.493002096768387,0.800232435645406,-0.131699412361063
"Big&Big_NF",-0.786790323833021,-0.364116206720256,-0.0175846659625351,-0.681615462695436,-1.10195424078992,-1.91670342370723,0.620578723662727,-2.24085002441124,0.707828700078065,-0.784968831419763,0.942872216283157,1.08163008268118,0.803324693825494,1.04275134615924,-0.319883096030878,-0.15791334522738,-0.509985449926877,-0.782989454259736,0.157282671411938,-0.869093367466044,-0.185176565787252,0.494699257596071,-0.658186857032407,0.25709676942237,0.0240921832259923,1.40065219560439,2.41989135991638,-0.714210115249249,-0.820880341447634,0.733646486265292,1.14536876480645
"Big&CorralCyn",-1.92119100393505,-0.536273331506427,1.12896218488699,0.143211340992972,-0.105554547700906,-1.38788660528347,1.11160470157676,-1.42027185559584,-0.616982788351244,-0.281596117740855,2.08829370055372,0.468976994149586,0.722831779466765,1.5538497111159,1.49247872765319,-1.05864900455198,-0.841725991152384,-0.284403293868068,0.382969961471797,-0.315477037798459,0.966357593869678,-1.03109242134818,-0.732192906352117,-0.319115437205464,0.196108372379271,0.107243649150047,1.37249382865852,-0.377633279867863,-0.478452352286173,-0.836566918680395,-0.645574135263107
